"product_id","product_name","price","category_name","main_image_url","product_url","status","updated_at","is_deleted","display_yn","mall_id","description","keywords","image_tags"
"P001","검정 3단 자동 우산","8500","우산","https://placehold.co/640x640/111827/ffffff?text=P001","","active","2026-05-19T09:00:00Z","false","Y","","판촉용 접이식 자동 우산","검정;3단;자동;우산;판촉물","black;umbrella;folding"
"P002","고급 장우산","12000","우산","https://placehold.co/640x640/1f2937/ffffff?text=P002","","active","2026-05-19T09:00:00Z","false","Y","","고급 손잡이 장우산","장우산;고급;우산","umbrella;premium"
"P003","UV 차단 우산","9900","우산","https://placehold.co/640x640/0f766e/ffffff?text=P003","","active","2026-05-19T09:00:00Z","false","Y","","자외선 차단 판촉 우산","UV;차단;우산","umbrella;uv"
"P004","블랙 스텐 텀블러","13800","텀블러","https://placehold.co/640x640/111111/ffffff?text=P004","","active","2026-05-19T09:00:00Z","false","Y","","검은색 스테인리스 보온 텀블러","블랙;스텐;텀블러;보온","black;tumbler;stainless"
"P005","화이트 보온병","15500","텀블러","https://placehold.co/640x640/f8fafc/111827?text=P005","","active","2026-05-19T09:00:00Z","false","Y","","화이트 컬러 보온 보틀","화이트;보온병;보틀","white;tumbler;bottle"
"P006","점착 메모지 세트","3200","점착메모지","https://placehold.co/640x640/facc15/111827?text=P006","","active","2026-05-19T09:00:00Z","false","Y","","사무용 홍보 점착 메모지","점착;메모지;사무용","sticky;memo;paper"
"P007","방문형 점착메모","2900","점착메모지","https://placehold.co/640x640/fde68a/111827?text=P007","","active","2026-05-19T09:00:00Z","false","Y","","방문 판촉용 점착 메모","방문;점착메모;메모지","sticky;memo"
"P008","크리스탈 감사패","48000","상패","https://placehold.co/640x640/e0f2fe/111827?text=P008","","active","2026-05-19T09:00:00Z","false","Y","","투명 크리스탈 감사패 상패","크리스탈;감사패;상패","crystal;trophy"
"P009","유리 트로피","52000","상패","https://placehold.co/640x640/dbeafe/111827?text=P009","","active","2026-05-19T09:00:00Z","false","Y","","행사용 유리 트로피","유리;트로피;상패","glass;trophy"
"P010","고급 볼펜 세트","4200","볼펜","https://placehold.co/640x640/2563eb/ffffff?text=P010","","active","2026-05-19T09:00:00Z","false","Y","","기념품용 고급 볼펜","볼펜;펜;기념품","pen;blue"
"P011","친환경 에코백","6400","가방","https://placehold.co/640x640/84cc16/111827?text=P011","","active","2026-05-19T09:00:00Z","false","Y","","친환경 면 소재 장바구니","친환경;에코백;가방","bag;eco"
"P012","탁상 달력","3800","달력","https://placehold.co/640x640/f97316/ffffff?text=P012","","active","2026-05-19T09:00:00Z","false","Y","","사무실 판촉 탁상 캘린더","탁상;달력;캘린더","calendar;desk"
